MP,compound,solvent,set
55.5,C1=CC(=C(C(=C1[N+](=O)[O-])Cl)Cl)Cl,,train
-7.0000014,c1cc(cnc1)CO,,train
76,CC2(C)C1CCC2(C)C(=O)C1Br,,train
-127,[SiH](Cl)(Cl)Cl,,train
83,C(CCCCCCO)CCCCCO,,train
80,c1ccc(cc1)C2CCC(=O)CC2,,train
95,Clc1ccccc1/C=C(C#N)C#N,,train
53,Nc1ccc(cc1)C2CCCCC2,,train
247,c1cc(ncc1C(=O)N)N,,train
60,c1ccc(cc1)C(=O)c2ccccc2C(F)(F)F,,train
66,OC(c1ccccc1)c2ccccc2,,train
94.8,CC(C)N(CCC(c1ccccn1)(c2ccccc2)C(N)=O)C(C)C,,train
-49,CCCCCCCCC(C)C,,train
78,Brc1cc(Br)c(N)cc1,,train
54,Ic1ccc(Cl)cc1,,train
27.999998,CN1CCC(CC1)O,,train
50,CC1(C)CC(C)(c2ccccc21)c1ccccc1,,train
35,CCCCCCCCCCCCCCCCCC(=O)OCC,,train
53,COc1cc(cc(OC)c1)OC,,train
43,CCOC(=O)Cc1c[nH]c2c1cccc2,,train
48,CC12CCC(C1)C(C)(C)C2O,,train
357.99997,c1cc(sc1C(=O)O)C(=O)O,,train
38,N#Cc2ccccc2c1ccccc1,,train
42,c1ccc(cc1)CSC#N,,train
-34,c1ccc(c(c1)C(F)(F)F)N,,train
160,Cc1ncc([N+]([O-])=O)n1CCO,,train
100,c1cc(c(cc1C#N)[N+](=O)[O-])Cl,,train
208,N=C(N)NC#N,,train
107,Cc1cc(cc(c1)O)O,,train
163,c1cc(c(cc1[N+](=O)[O-])C(=O)O)C(=O)O,,train
59,O=[N+]([O-])c1cc(CBr)ccc1,,train
157,Nc1c(cc(cc1Cl)[N+]([O-])=O)[N+]([O-])=O,,train
148,c1(c(c(c(c(c1F)F)F)F)F)C(=O)N,,train
22.999998,O(P(Oc1ccccc1)Oc2ccccc2)c3ccccc3,,train
169,C1C(=O)NC(=S)S1,,train
46,C1CC2CC1C=C2,,train
-41.199997,CCCC(O)CCC,,train
67,c1cc(c(nc1)Cl)Cl,,train
-36,C=Cc1ccc(cc1)F,,train
-153,CC(C)CC=C,,train
167,c1cc2c(cc1C(=O)O)C(=O)OC2=O,,train
35,c1ccc(cc1)/N=[N+](/c2ccccc2)[O-],,train
-115,CC(C)CC1CCCC1,,train
-26.000002,CC(C)(C)Cl,,train
38,COc1cccc(c1)[N+]([O-])=O,,train
134,Cc1ccc(c(c1)C(=O)O)C,,train
203,c1ccc2c(c1)c(ccn2)O,,train
140.1,[O-][N+](=O)NC/1=N/CCN\1Cc2cnc(Cl)cc2,,train
144,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],,train
17.000002,COc1cc(ccc1O)Cl,,train
-20.000002,BrCCCCBr,,train
201,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,,train
146,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,,train
29.999998,c1cc(sc1)S(=O)(=O)Cl,,train
127,C(CCCCCCCCCC(=O)O)CCCCCCCCC(=O)O,,train
127,Cn1c(nnn1)S,,train
52,CCCCCCCCC(=O)CCCCCCCC,,train
142,C1=CC=C(C(=C1)C(=O)N)O,,train
-138,CCCC,,train
95,ClCC(CCl)(CCl)CCl,,train
88,c1cc2c(cc1N)scn2,,train
-63.59999,C#CCCO,,train
141,c1c(cc(c(c1[N+](=O)[O-])Cl)[N+](=O)[O-])C#N,,train
233,c1cc2c(cc1C(=O)O)OCO2,,train
-187.99998,CCC,,train
65,COc1ccc(cc1)C=Nc2ccccc2,,train
157,C1=CC(=CC(=C1)Br)C(=O)O,,train
98,CCOC(=O)C(C(=O)OCC)NC(=O)C,,train
-111,CCC1CCCCC1,,train
79,Fc1c(C#N)c(F)c(C#N)c(F)c1F,,train
123,c1ccc2c(c1)c(c[nH]2)CCCC(=O)O,,train
-115,CCN(CC)CC,,train
40,Cc1ccc2c(c1)nc(s2)C,,train
-108,C1CCCO1,,train
40,Cc1c(cccc1OC)OC,,train
-102,CC(C)C(C)(C)C(C)C,,train
-154,CC(C)CCC,,train
-34,C1COC1=O,,train
-67,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,,train
141,c1ccc2c(c1)cc3ccccc3c2[N+](=O)[O-],,train
79,NC(=O)CCCCCCCCCCC/C=CCCCCCCCC,,train
57.5,O=C(O)CCC(=O)OC,,train
149,COc5ccc(CCN1CCC(CC1)Nc3nc2ccccc2n3Cc4ccc(F)cc4)cc5,,train
-138,CC1CC1(C)C,,train
56,ClCc1ccccc1CCl,,train
57,CCCCCCCCCCCCCCCCCCCCCCCCCC,,train
220,c1ccc2cc(c(cc2c1)C(=O)O)O,,train
64,O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl,,train
97,OC(=O)c1ccccc1C=O,,train
86,O=C(Nc1ccccc1)CC(C)=O,,train
255.5,O=C1OC(=O)c2c1c(Cl)c(Cl)c(Cl)c2Cl,,train
56,c1cc(cc(c1)I)C=O,,train
46,CCC(=O)c1ccc(cc1)Br,,train
-35,ClC(Cl)C(F)(F)OC,,train
29.999998,COC(=O)CS(=O)(=O)c1ccccc1,,train
-14.000001,Cc1cc(C)c(C)cc1CC,,train
97,O=[N+]([O-])c1cccc(O)c1,,train
76,Cc1ccc(cc1Br)[N+]([O-])=O,,train
144,COc1cc(c(cc1OC)OC)C(=O)O,,train
189,CC(=O)c1c[nH]c2c1cccc2,,train
-16.000002,CCCCCCCCO,,train
-74,CC(C)c1ccccc1Cl,,train
-7.0000014,CCCCCCCCCCCCS,,train
12.000003,Cc1nc2ccccc2s1,,train
-47,ClCCOCCCl,,train
35,NCCCCCO,,train
-30.000002,Cc1cnccn1,,train
268,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],,train
58,O=[N+]([O-])c1ccc(cc1)C(=O)OCC,,train
20.999998,CCCCCCCCCCCCCCCCC,,train
87,CS(=O)(=O)c1ccccc1,,train
172,O[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]1OC,,train
70,COc1cccc(c1)CC(=O)O,,train
-123,CCCCCl,,train
147.5,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,,train
13.000003,CC(=O)OCCCCOC(=O)C,,train
24.999998,CC(C)(C)O,,train
174.5,Cc1ccc(cc1)N(CC2=NCCN2)c3cc(O)ccc3,,train
113.5,II,,train
-46,CC#N,,train
65,CCOC=C(C#N)C#N,,train
1.9999987,BrCCCCCCBr,,train
76,Cc1ccc(c(c1)O)C,,train
108,c1cc2cnccc2c(c1)[N+](=O)[O-],,train
-13.000001,CC(C)(C)CCC(C)(C)C,,train
199,CC(=NNC(=O)c1ccncc1)c2ccco2,,train
72,c1ccc(cc1)c2cnc(o2)c3ccccc3,,train
-94,CC(=O)C,,train
106,c1cc2c(cc[nH]2)cc1C#N,,train
-117,CCCC1CCCC1,,train
133.5,O=C(C(c1ccccc1)c2ccccc2)N(C)C,,train
171,CC(=O)c1ccc(c(c1O)O)O,,train
225,c1cnc([nH]1)S,,train
61,c1ccc3ccccc3c1Nc2ccccc2,,train
44,COc1cc(ccc1OC)C=O,,train
67,Clc1ccc(Br)cc1,,train
86,CC(C(C(=O)O)Br)Br,,train
70,CCOc1ccc(cc1)OCC,,train
156,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,,train
71,CC(=O)c1cc2ccccc2o1,,train
101,COc1ccc(c(c1OC)OC)C(=O)O,,train
7.9999986,CCOC(=O)c1ccc(cc1)OC,,train
234,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)\C=C/[C@]1(C)[C@H]4C(=O)C[C@@]23C,,train
208,c1cc2ccc(cc2c(c1)N)O,,train
61,c1ccnc(c1)c2ccncc2,,train
121,COc1cc(cc(OC)c1OC)C(=O)NCCCCCC(O)=O,,train
38,CC1(CCCCC1)C(=O)O,,train
39,NCCCCCCN,,train
-37.999992,CCN(CC)c1ccccc1,,train
27.999998,CCOC(=O)c1ccccc1[N+](=O)[O-],,train
188,c1cc(ncc1[N+](=O)[O-])N,,train
78,C1=CC=C(C=C1)C2=CC(=C(C=C2Cl)Cl)Cl,,train
81,CC(C)(c1ccccc1)C(=O)O,,train
-25.000002,Cc1ccccc1C,,train
-30.000002,Cc1c(c(c(c(c1F)F)F)F)F,,train
48,Brc1ccc(CC#N)cc1,,train
167,Cc1c(cnn1c2ccccc2)C(=O)O,,train
54,c1cnccc1CO,,train
121,c1c(cc(cc1F)F)C(=O)O,,train
-126,BrC(CC)CC,,train
-22.000002,BrC(Br)Cl,,train
92,Cc1ccc(cc1)CC(=O)O,,train
-105,COCOC,,train
-15.000001,CCCCCCCCCC#N,,train
159,On2nnc1ccccc12,,train
-1.0000013,CCCCCCCCN,,train
46,c1cc(cc(c1)F)CC(=O)O,,train
-9.000001,Cc1cc(cnc1)C,,train
5.0000024,[O-][N+](=O)c1ccccc1,,train
63.5,CN(C)c1ccc(cc1)C(=O)OCC,,train
146,c1ccc(cc1)C(=O)/C=C/c2cccc(c2)[N+](=O)[O-],,train
-113,CC(CCC)CCCC,,train
127,C(C(CO)([N+](=O)[O-])Br)O,,train
22.999998,c1c(nc(nc1Cl)Cl)Cl,,train
199,Nc1ccc(cc1N)[N+]([O-])=O,,train
180,c1ccc2c(c1)c(c[nH]2)C#N,,train
93,c1cc(cc(c1)N)CO,,train
47,CCc1[nH]cc(n1)C,,train
-102,CCCCCCC=C,,train
-90.8,[O-][N+]#N,,train
13.000003,CCCCCCCCCCN,,train
-24.000002,O=S(=O)(OCC)OCC,,train
157,COC(=O)c1c(c(c(c(c1Cl)Cl)C(=O)OC)Cl)Cl,,train
142,c1cc(c(cc1C=O)[N+](=O)[O-])O,,train
-3.0000012,CCCCCCCCCCCCI,,train
156,c1ccc(cc1)P(=O)(c2ccccc2)c3ccccc3,,train
-65,CC(C)C=O,,train
-80,O=C(C)OCCCCCC,,train
-140.00002,C=C(C)C,,train
58,Ic1ccccc1N,,train
241,Cc1cc(cc(Br)c1O)C3(OS(=O)(=O)c2ccccc23)c4cc(C)c(O)c(Br)c4,,train
29.999998,c1cc(c(c(c1)F)C#N)F,,train
273,CS(=O)(=O)c1ccc(cc1)C(=O)O,,train
-64,CCCc1ccc(C)cc1,,train
0.9999987,CC1(C2CCC(O1)(CC2)C)C,,train
206,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,,train
60,C(#Cc1ccccc1)c2ccccc2,,train
74,c1ccc2c(c1)COC2=O,,train
53,Nc1cc(Cl)cc(Cl)c1,,train
43,Cc1ccc(N)cc1,,train
199.5,O=C(NCC(=O)O)c1ccc(N)cc1,,train
-63,FC(F)(F)C(=O)OC(=O)C(F)(F)F,,train
65,C=C(C(=O)O)Cl,,train
-6.0000014,C(Cl)(Cl)(Cl)Br,,train
219,COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O,,train
-6.0000014,c1c(cc(cc1F)F)F,,train
154,c1ccc(cc1)/N=N/c2ccc(cc2)O,,train
240,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],,train
17.999998,C(C(Cl)(Cl)Cl)O,,train
220,CN(C)c1cccc2c1cccc2S(=O)(=O)N,,train
-127.149994,C1CC1,,train
119.5,O=C1CCC(=O)O1,,train
58,c1ccnc(c1)N,,train
168.5,Clc1cc(N)cc(Cl)c1O,,train
80,Cc1c(cc(cc1[N+](=O)[O-])[N+]([O-])=O)[N+]([O-])=O,,train
37,C1CCC(=O)C(=O)C1,,train
138,CC(=O)NC(=O)CN,,train
148,CC(=O)NC12CC3CC(C1)CC(C3)C2,,train
89,c1cc(sc1)C(=O)c2cccs2,,train
-16.000002,CCCCCCCCCCI,,train
198,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3,,train
108,O=C(C)c1ccc(O)cc1,,train
88,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,train
97,COc1cc(ccc1OC)[N+]([O-])=O,,train
27.000002,c1c(c(sc1Br)Br)Br,,train
27.000002,Cc1ccc(c(c1)OC)OC,,train
154.5,Nc2nc(N)ncc2Cc1cc(OC)c(OCCOC)c(OC)c1,,train
237.5,Clc4cc5NC(=O)N(C3CCN(CCCN1c2ccccc2NC1=O)CC3)c5cc4,,train
205,Oc1ccccc1NC(C)=O,,train
54,Brc1ccc2ccccc2c1,,train
45,NP(=O)(OC)SC,,train
60,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,,train
27.999998,CCCCCCCCCCCCCCCCCCBr,,train
175,O=C1c3ccccc3Oc2ccccc12,,train
-90,CCOC(=O)C(C)(C)C,,train
84,C(=O)(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,,train
-89,Cc1ccco1,,train
173,COc1ccc(cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3)Cl,,train
-47,CC(C)C(=O)O,,train
183.49998,COc1ccc(cc1)C(=O)O,,train
-2.1999981,CC#CCO,,train
61,Cc1ccc(CO)cc1,,train
131,Ic1ccc(I)cc1,,train
-43,ClCc1ccccc1,,train
150,CC(CO)(CO)[N+](=O)[O-],,train
39,C(CCCC(=O)O)CCCBr,,train
47,c1ccc2c(c1)cncn2,,train
90,ON=C1/CCCCC1,,train
152,COCCOc2cnc(NS(=O)(=O)c1ccccc1)nc2,,train
-145.99998,CC(=C)C=C,,train
209,CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC,,train
167,c1ccc(cc1)C(=O)c2cc(ccc2N)[N+](=O)[O-],,train
228,c1ccc(cc1)c2ccc(cc2)C(=O)N,,train
-9.599999,CCCCCCCCCCCC,,train
51,Nc1ccc(Cl)cc1OC,,train
62,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],,train
57,CCOC(=O)CNc1ccccc1,,train
38,c1cc(c(c(c1)F)O)F,,train
176,Cc1[nH]c2ccccc2n1,,train
58,OCc1cccc(CO)c1,,train
138,c1ccc(cc1)N/C=N/c2ccccc2,,train
-119,CCCCCC=C,,train
33,CCC/C=C/C(=O)O,,train
12.000003,CC(=O)CCCC(=O)O,,train
94,O=[N+]([O-])c1ccc(CO)cc1,,train
7.4999986,Cc1ccc(Cl)cc1,,train
132,Oc3ccc1ccccc1c3/N=N/c2ccccc2,,train
201,c1ccc(cc1)[Si]2(O[Si](O[Si](O[Si](O2)(c3ccccc3)c4ccccc4)(c5ccccc5)c6ccccc6)(c7ccccc7)c8ccccc8)c9ccccc9,,train
224,c1ccc(cc1)C(=C(c2ccccc2)c3ccccc3)c4ccccc4,,train
102,O=C2C=C(C)C(=O)c1ccccc12,,train
258,c1cc(c(cc1C(=O)O)S(=O)(=O)N)Cl,,train
42,c1ccc(c(c1)[N+](=O)[O-])Br,,train
126.5,c1cccc2nc(c(nc12)c3ccccc3)c4ccccc4,,train
-30.000002,CCCCCCCCCCBr,,train
9.999999,Ic1ccccc1Br,,train
97,c1cc(c(c(c1)Cl)CO)Cl,,train
-130,C/C(C)=CCCC,,train
153,CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4O,,train
300,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O,,train
62,CCOc1ccc(cc1)C#N,,train
40,CC(C)(OOC(C)(C)c1ccccc1)c2ccccc2,,train
-31.000002,Brc1ccccc1,,train
173.99998,c1cc(ccc1C(=O)c2ccc(cc2)Br)Br,,train
-24.000002,N#CCc1ccccc1,,train
-19.000002,OC1CCCC1,,train
-23.000002,O=C1CCCN1C,,train
88,COc1ccc(cc1)c2ccccc2,,train
154,OC(C(=NO)c1ccccc1)c2ccccc2,,train
-128,CC(C)C(C)C,,train
12.000003,CCCCCCCCCCCCCCCC(=O)OC(C)C,,train
23.999998,Clc1ccccc1CC#N,,train
120,CC(C)(C(=O)O)Oc1ccc(cc1)Cl,,train
148,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,train
17.999998,CCCCCCCCCCCCCC(=O)OC,,train
205,O=C3c1ccccc1C(=O)c2c3ccc(C)c2N,,train
53,c1cc2c(cc1O)CCC2,,train
-31.000002,CCCCCCCC1CCCCC1,,train
182,C1=C(C(=CC(=C1Br)Br)Br)Br,,train
131,c1cc2c(cc1/C=C/C=C/C(=O)N3CCCCC3)OCO2,,train
142,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,,train
92,c1cc(sc1)c2ccc(s2)c3cccs3,,train
78,O=C(Cl)Oc1ccc(cc1)[N+]([O-])=O,,train
129.5,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,,train
89,CN(C)c1ccc(cc1)C(=O)c2ccccc2,,train
123.5,BrC(Br)(C#N)C(N)=O,,train
-91.5,CCCCC=O,,train
-9.000001,CCCCCCC(=O)O,,train
33,Cc1ccc(cc1F)N,,train
42.5,C1=CC(=C(C=C1Cl)Cl)O,,train
-69,CCCCCC(=O)OCCC,,train
187,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,,train
72,OCCCCCCCCCCO,,train
-36,O=Cc1ccco1,,train
-81,CCC=O,,train
-77,CC(C)CNCC(C)C,,train
94,c1c(c(cc(c1Cl)Cl)Cl)N,,train
-13.000001,N#Cc1ccccc1,,train
39,CC(C)C(C(=O)O)Br,,train
240,Clc1nc(C(=O)N=C(/N)N)c(N)nc1N,,train
-128,CC(C)=C/C(C)C,,train
44,C(C(=O)CCl)Cl,,train
-7.0000014,CCCCCCCCCO,,train
60,C(CCCCO)CCCO,,train
176,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,train
236,Clc1ccc2N=C(C[N+]([O-])=C(c2c1)c3ccccc3)NC,,train
-29.000002,BrC(Br)CBr,,train
62,c1ccc(cc1)CSCC(=O)O,,train
10.999999,CCOc1cccc(c1)OCC,,train
1.9999987,N#CCCCCC#N,,train
86,c1ccc(cc1)Cc2ccc(cc2)c3ccccc3,,train
-123,CC(C)CC(C)C,,train
-50,CC(C)N(CC)C(C)C,,train
-100,ClCCCCl,,train
6.9999986,Oc1ccccc1Cl,,train
114,OC(CCN1CCCCC1)(c2ccccc2)C3CCCCC3,,train
-115,C/C(C)=C(/C)CCC,,train
74,c1c(c(cc(c1[N+](=O)[O-])F)F)[N+](=O)[O-],,train
41,c1ccc(cc1)CSc2ccccc2,,train
33,Cc1ccccc1O,,train
179,FC=1C(=O)C(F)=C(F)C(=O)C=1F,,train
96,c1cc(c(cc1N)[N+](=O)[O-])F,,train
237,C12C(C(=O)OC1=O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,train
37.2,O=C=Nc1ccc(cc1)Cc2ccc(N=C=O)cc2,,train
184,COc1cc(cc(c1)OC)C(=O)O,,train
220,Sc1nc(CCC)cc(O)n1,,train
180,CCc2c(C)[nH]c3CCC(CN1CCOCC1)C(=O)c23,,train
43,c1ccc(cc1)[SiH](c2ccccc2)c3ccccc3,,train
-20.799997,CCC(=O)O,,train
84,Clc1c(OC)cc(Cl)c(Cl)c1Cl,,train
140,Cc1ccc(cc1)OCC(=O)O,,train
119,O=C(NCN1CCOCC1)c2cnccn2,,train
129,c1cc(c(cc1N)[N+](=O)[O-])O,,train
122,O=C1CCN(N1)c2ccccc2,,train
40,C(CCBr)CC(=O)O,,train
37,C1CCNC(=O)C1,,train
18.999998,COc1ccc(cc1)N=C=S,,train
-32,C1CC[C@H]2CCCC[C@@H]2C1,,train
117,c1ccc(cc1)C(=O)CCC(=O)O,,train
-110,CC(C)C(C)C(C)C,,train
235,Cc1cc(c2ccccc2n1)O,,train
34,COc1cc(cc(Cl)c1)OC,,train
54,c1ccc2c(c1)CC(=O)C2,,train
83,c1ccc(cc1)Cc2ccc(cc2)O,,train
-13.000001,CCCCCCCCCCCCC=C,,train
-151,CC=C/CC,,train
108,CC(C)NCC(O)COc1ccccc1CC=C,,train
6.9999986,C(/C=CCO)O,,train
47,c1ccc(cc1)Oc2ccccc2N,,train
125,c1ccc2c(c1)cc(cc2O)O,,train
72,CN(C)c1cccc2c1cccc2S(=O)(=O)Cl,,train
160,Cc1ccnc(n1)N,,train
10.999999,CCCCCCCCCCCCCCCC=C,,train
-36,CC(C)(C)C(C)(C)C(C)C,,train
146,OC(=O)c1ccc(Cl)cc1OC,,train
-183.33,CC,,train
-9.000001,Ic1cccc(Br)c1,,train
-16.000002,c1cc(ccc1F)Br,,train
205,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,,train
75,CCC(=O)C(CC(C)N1CCOCC1)(c2ccccc2)c3ccccc3,,train
29.999998,Nc1ccccc1Br,,train
92,N#Cc1ccc(Cl)cc1,,train
-112,CCCCBr,,train
36,CCOc1ccc2ccccc2c1,,train
-7.0000014,CC(=O)c1cccc(c1)OC,,train
159,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)Cl,,train
79,c1ccc(cc1)Nc2ccccc2N,,train
15.999999,CC(C)(C)c1ccc(Br)cc1,,train
-22.000002,C(=C(Cl)Cl)(Cl)Cl,,train
7.9999986,COCC(=O)O,,train
64,COc1ccc(c(c1)O)C(=O)c2ccccc2,,train
45.5,Nc1cc(Cl)c(F)cc1,,train
-74,C(F)(Br)(Br)Br,,train
242,CS(=O)(=O)c1ccc(cc1)c3cn2ccccc2n3,,train
28.499998,Cc1ccc(Br)cc1,,train
-7.1999984,BrBr,,train
74,CCCOC(=O)c1ccc(cc1)N,,train
233,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(O)=O,,train
215,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,,train
34,O=C(C)c1ccc(Cl)cc1Cl,,train
164,FC(F)(F)CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,,train
116,O=[N+]([O-])c1ccc(CC#N)cc1,,train
-67,Cc1ccc(CC)cc1C,,train
139.5,Oc2ccc3ccccc3c2N=Nc1ccccn1,,train
274,CN1C2=C(C(=O)N(C1=O)C)N=CN2,,train
156,Cc1ccccc1S(=O)(=O)N,,train
183.49998,CN1CCN(CC1)C2=Nc4cc(Cl)ccc4Nc3ccccc23,,train
-12.000001,CCC(C)(C)O,,train
98,c1c(c(cc(c1F)F)F)C(=O)O,,train
67,CC#CC#CC,,train
8.999999,CCOC(=O)c1cccnc1,,train
281.99997,Oc3cc4CC[C@@H]2[C@H](CC[C@@]1(C)[C@H]2C[C@@H](O)[C@@H]1O)c4cc3,,train
160,c1cc(ccc1C(c2ccc(cc2)O)(C(F)(F)F)C(F)(F)F)O,,train
118,c1ccc(c(c1)C(=O)NN)Cl,,train
-44.5,CC(=O)CCl,,train
55,O=C(CCl)c1ccccc1,,train
188,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C=O,,train
57,Nc1ccc(OC)cc1,,train
88,c1ccc(cc1)c2ccc(o2)c3ccccc3,,train
36,c1cc(oc1C=O)[N+](=O)[O-],,train
113,CCC(C(=O)O)C(=O)O,,train
67,Oc1cc(Cl)c(Cl)cc1,,train
29.999998,COc1ccccc1c2ccccc2,,train
-140.00002,C=CCCCC,,train
68.5,Cc1ccc(cc1[N+](=O)[O-])[N+]([O-])=O,,train
59,CN(C)c1cccc(c1)[N+](=O)[O-],,train
109,CCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,,train
150,COc3ccc2n(C(=O)c1ccc(Cl)cc1)c(C)c(CC(=O)OCC(O)=O)c2c3,,train
17.000002,C(C(CBr)Br)Br,,train
-84,CC(=O)OCC,,train
20.999998,OC1CCCCC1,,train
-65,CC(=O)OCCOC,,train
189,CC(CO)(CO)C(=O)O,,train
254,c1ccc2c(c1)c(ccn2)C(=O)O,,train
