logD,compound,solvent,set
3.4,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3)cn2)CC1,,train
-0.39999995,COc1cc(C)c(S(=O)(=O)N(C)CCOCC(=O)N2CCN(C3CCN(C)CC3)CC2)c(C)c1,,train
1.47,C[C@H](NC(=O)c1cccc2c1N(Cc1ccc(Cl)cc1)CC2)c1ccc(C(=O)O)cc1,,train
2.17,NS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)c[nH]c(=O)c2c1,,train
2.7,CCN(CC)CCn1c2ccccc2c2cnc(N)c(C#N)c21,,train
2.4,CN(C)CC(O)COc1ccc(Nc2nccc(N(CC#N)c3cc(Cl)ccc3Cl)n2)cc1,,train
1.95,Clc1ccc([C@H]2CC=CCNC2)cc1Cl,,train
-0.57999974,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,,train
3.8,Oc1ccc2[nH]c(CN3CCC(Cc4ccc(F)cc4)CC3)nc2c1,,train
3.6,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3F)cn2)CC1,,train
0.049999867,N#Cc1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,,train
3.37,Oc1cccc2nc(-c3ccccc3)cc(O)c12,,train
3.09,O=C(Cc1ccccc1)c1ccc(O)cc1O,,train
3.1,O=C1C(=O)c2cc(-c3ccsc3)ccc2-c2ccccc21,,train
2.46,CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(C(=O)NCCOCCN)c2C)cc1,,train
2.6,COc1cc(F)ccc1-c1cncc(CNC2CCCCC2)c1,,train
2.1,O=C(O)c1ccccc1Cn1nnc(-c2cccc(OCc3ccc4ccccc4n3)c2)n1,,train
1.26,N#Cc1ccc(Cl)cc1S[C@H](CCN)c1ccccc1,,train
3.4,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCOCC1,,train
1.23,CNC(=O)c1snnc1-c1ccccc1,,train
3.39,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,,train
0.6000001,c1ccc2nc(C3=NCCN3)ccc2c1,,train
-0.27000007,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,,train
1.7,CS(=O)(=O)c1cccc2c3c([nH]c12)CCN(C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(C#N)CC1)C3,,train
2.6,CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3ccccc3)n2)CC1,,train
0.46999994,Nc1n[nH]c(N)c1Cc1ccc2c(c1)OCO2,,train
1.26,CNCc1cccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@@H](C)O[C@@H](C)C4)nc3n2)c1,,train
3.56,Cc1c(Sc2ccc(Cl)cc2)c2cc(Cl)ccc2n1C(C)C(=O)O,,train
-0.09,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,,train
1.2,CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1cccnc1,,train
3.59,C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,train
1.62,CC(C)N1CCC[C@@H](CN2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,,train
2.7,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,,train
2.96,CNc1c(Br)cnc2[nH]c(-c3cccc(N)c3)nc12,,train
1.56,Nc1nc2ccccc2n1C(=O)c1ccccc1,,train
0.6000001,CCC[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,,train
0.91000015,FC(F)(F)c1nnc2ccc(-n3ccnc3)nn12,,train
1.79,O=C(NS(=O)(=O)c1ccc(F)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,train
3.57,CC(C)NC(=O)c1cnc(N2CCC(N3C(=O)OCc4ccccc43)CC2)c(Cl)c1,,train
3.6,COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1-c1cnco1,,train
2,CCc1[nH]c2nc(Sc3cnc4ccc[n+]([O-])c4c3)nc(N3CC[C@@H](N)C3)c2c1Cl,,train
2.1,COc1cccc2[nH]ncc12,,train
2.14,CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccccc1,,train
1.18,CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(C(=O)O)c2C)cc1,,train
2.14,COc1cc(OC)cc(-c2cc3cnc(N)nc3nc2N)c1,,train
3.3,COc1cc(N2CCN(C)CC2)c2nc(C(=O)Nc3ccc(N4CCOCC4)cc3)cc(N(C)C)c2c1,,train
1.2,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,,train
1.84,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CCNCC2)ccc1Cl,,train
3.99,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,,train
2.65,CC(=O)Nc1ccc2[nH]cc(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,,train
3.05,COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1,,train
2,O=C1c2ccc(O)cc2C(=O)N1c1cccc(O)c1,,train
2.6,NC1CCc2cc(OC(=O)c3ccccc3)c(OC(=O)c3ccccc3)cc2C1,,train
3,O=C1CN(C(=O)c2ccco2)C(c2ccccc2)c2cc(Cl)ccc2N1,,train
2.14,CCO/N=C(\c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc[n+]([O-])c3C)CC2)CC1,,train
3.4,N#C/C(=C(\N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F,,train
1.06,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCSCCNCCc3cccc(Cl)c3)c2s1,,train
-0.6899999,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,,train
2.9,COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,,train
2.61,CCCSc1nc(NC[C@H]2CC[C@H](C(=O)O)CC2)ccc1C(=O)NC1CCCCC1,,train
3.22,N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13,,train
0.85999995,N#Cc1ccc(C(=O)N2CCC3(CC2)N=C(N)c2c(F)ccc(F)c2N3)cc1,,train
2.68,Cc1cnc(Nc2cc(N3CCOCC3)nc(N[C@@H](C)c3ncc(F)cn3)n2)s1,,train
2.5,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,,train
3.7,COc1ccc(-n2cnc3cc(NS(=O)(=O)c4ccccc4)ccc32)cc1,,train
3.01,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3oc4ccccc4c3C2)CC1,,train
2.22,O=S(=O)(CCOCCCc1ccccc1)NCCNCCc1ccc(O)c2nc(O)sc12,,train
2.01,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,,train
4.03,CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1,,train
3.3,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,,train
1.94,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3cccc4ccccc34)[C@H]21)C(C)(C)C,,train
2.6,CCc1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)n(C)n1,,train
2.17,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,,train
3.5,c1ccc2[nH]c(CCCc3nc4ccccc4[nH]3)nc2c1,,train
3.45,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,,train
1.49,CC(C)N(c1nnc(N)s1)C(C)C,,train
3.1,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3cc(CO)ccn23)n1,,train
2.63,CCOC(=O)C1=C(C)NC(C)=C(C(C)=O)[C@H]1c1cccc2c(=O)cc(C)oc12,,train
3.73,O=C(c1ccc(F)cc1)N1CCC[C@H](c2nc(-c3ccc(F)cc3)no2)C1,,train
3.6,O=C(Oc1ccc2c(c1)OCCC2=O)c1ccccc1,,train
-0.14999995,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,,train
1.54,CCSc1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,,train
3,O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1,,train
2.8,Fc1ccc(CN2CCN(C3=Nn4c(nnc4C(F)(F)F)CC3)CC2)cc1,,train
2.4,CCOc1ccc2nc(N)sc2c1,,train
2.92,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,,train
2.16,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,,train
2.1,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,,train
1.6,c1ccc2cnccc2c1,,train
2.1,C[C@@](O)(C(=O)Nc1ccc(S(=O)(=O)NCCCO)cc1Cl)C(F)(F)F,,train
2.7,Cc1nn(C)c2cc(N3CCN(C(=O)[C@@H]4CCCC[C@H]4C(=O)NC4(C#N)CC4)[C@H](C)C3)ccc12,,train
2.82,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(S(C)(=O)=O)CC1,,train
2.28,CCCN(C)c1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,,train
0.91000015,COc1ccccc1-c1nnc(N)[nH]1,,train
2.1,CC(=O)Nc1cccc(Nc2nc(NC3CC3)n3ncc(C#N)c3n2)c1,,train
2.55,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,train
2.74,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OCCN1CCCC1,,train
1.22,N#Cc1cc(CN2CCC2)cnc1-c1ccc(C(=O)Nc2ccccc2N)cc1,,train
3.67,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2cc(S(=O)(=O)NC3CC3)ccc12,,train
3.9,COc1cc2cc(-c3ccc(O)cc3O)nc(C)c2cc1OC,,train
2.04,COCCCc1cc(Nc2ccnc(NCc3cc(C)no3)n2)n[nH]1,,train
3.55,Cc1ccccc1-n1c(Cn2nc(-c3ccc(O)c(F)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O,,train
0.84,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(=O)O)s3)c2cc1OC,,train
3.6,C1CCc2c(c3c(N4CCCC4)nc(N4CCCC4)nc3n2CCN2CCOCC2)C1,,train
0.91000015,Cc1cn([C@H]2CCCN([C@H](CC(C)C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O,,train
1.4,CC(C#Cc1ccccc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,,train
4.3,CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2)nc2[nH]c(=O)sc12,,train
1.06,Nc1n[nH]c(Nc2ccccc2)n1,,train
2.41,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,,train
1.7,C[C@@](N)(Cc1ccccc1)c1ccccc1,,train
2.55,CCc1nc2c(N)nc3ccccc3c2n1CC(C)C,,train
2.8,O=c1oc2c(O)cccc2cc1-c1ccc(O)cc1,,train
3.38,Cc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1,,train
3.2,COc1cc(N2CCN(CCO)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,,train
2.08,CN1Cc2c(N)cccc2C(c2ccccc2)C1,,train
2.5,Cn1c(=O)n(Cc2ccc(C(=O)O)cc2)c(=O)c2cc(C#CCc3ccccc3)ccc21,,train
3.45,Nc1ccc(Cl)c(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1,,train
2.3,N#Cc1cnn2c(N)cc(-c3cccs3)nc12,,train
-0.28000006,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CN4CCCC4)c3)c2s1,,train
4.5,[O-]c1c2c(nn1-c1ccc(Cl)cc1)c1ccccc1c[n+]2Cc1ccccc1,,train
1.32,CC1(C)Oc2ncnc(N)c2N=C1c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,,train
3,Cc1cccc(NS(=O)(=O)c2cccc3nonc23)c1,,train
0.85999995,COc1ccc(CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)sc34)c2)cc1,,train
2.75,O=C(O)c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,,train
3.7,Cc1c(Oc2ccc(S(C)(=O)=O)cc2F)ncnc1OC1CCN(C(=O)OC(C)C)CC1,,train
3.7,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,,train
1.26,Cc1c(Oc2ccc(Cl)cc2)c2cc(F)ccc2n1CC(=O)O,,train
2,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)CN2CCOCC2)c1=O)C(=O)C(F)(F)F,,train
1.82,COc1ccc(-c2cc3c(N[C@H]4CCCNC4)ncc(C(N)=O)c3s2)cc1,,train
3.12,C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2nc(N)sc12,,train
4.01,C[C@@H]1CN(Cc2nnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)C[C@H](C)O1,,train
-0.2500001,Cc1cn([C@H]2CCCN([C@H](CC3CCOCC3)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O,,train
4.39,COc1ccc(Cl)c(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1,,train
1.71,Cc1ccc2c(c1)c(Sc1ccccc1Cl)c(C)n2CC(=O)O,,train
2.94,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)cc(N3CCOCC3)c2)n1,,train
4.24,O=C(Nc1ccccn1)c1ccc2[nH]c(-c3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc3)nc2c1,,train
4.2,CCn1c2ccccc2c2cc(NC(=O)C(C)C)ccc21,,train
1.5,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,train
2.92,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(Br)cc2)C1)C(C)(C)C,,train
2.93,O=C(NC1CCCCC1)C1CCCN(S(=O)(=O)c2cccs2)C1,,train
2.61,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2Cl)n[nH]1,,train
2.11,Cc1ccc(NC(=O)c2cncs2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,,train
1.71,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)n1,,train
0.36000004,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,,train
2.49,Cc1nc2ccc(Cl)cn2c1-c1ccnc(N)n1,,train
1.77,O=C(NCc1ccncn1)c1ccc(Oc2ccc(C#C[C@@]3(O)CN4CCC3CC4)cc2)cc1,,train
1.1,COC(=O)c1cccc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)c1,,train
3.27,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCN(CCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,,train
3.3,Nc1nc2cc3c(cc2s1)CCN(Cc1cccc(F)c1)CC3,,train
3.6,Cc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,,train
2.81,Cn1c(=O)n(Cc2ccc(Br)cc2)c2ccccc21,,train
1.5,O=c1[nH]cnc2cc(F)c(F)cc12,,train
1.07,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,,train
1.24,CNCCCN1c2ccccc2CCc2ccccc21,,train
0.93,COc1ccc2ncc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,,train
3,CC(O)(C(=O)Nc1ccc2c(c1)-c1ccccc1S2(=O)=O)C(F)(F)F,,train
0.93,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2CC(F)(F)F)cc1,,train
3.97,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1,,train
-1.3000001,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,,train
0.009999903,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,,train
0.91000015,COc1cccc(CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)sc34)c2)c1,,train
0.3899999,COc1ccc2ncc(=O)n(CCN3CC[C@H](NCc4ccc5c(n4)NC(=O)CO5)[C@H](O)C3)c2c1,,train
3.5,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,,train
3.8,Cc1ncccc1Oc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C,,train
2.76,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccc(C#N)cc2)CC1,,train
-0.57999974,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,train
3.1,CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc2ccsc2[nH]1,,train
0.92,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,,train
4,CNc1ncnc2c(CNc3cc(NC(=O)c4ccc5c(c4)OCCO5)ccc3C)cccc12,,train
4.09,O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccccc1OC(F)(F)F,,train
2.01,NC(=O)c1cnc(N[C@H]2CCCNC2)c2cc(-c3ccc(F)cc3)sc12,,train
1.61,COCCNCc1cncc(-c2ccc(F)cc2OC)n1,,train
1.6,CC(C)N1CCN(Cc2cnc(-c3ccc(C(=O)Nc4ccccc4N)cc3)c(F)c2)CC1,,train
3,COc1ccccc1CN(C(C)=O)c1cnccc1Oc1ccccc1,,train
2.9,CCCSc1nc2ccc(NC(=O)CCNC(N)=O)cc2s1,,train
2.72,N#Cc1nc(Nc2ccccc2)c(N)c(N2CCOCC2)n1,,train
2.47,CN1CC=CCC(c2cc3ccccc3o2)C1,,train
2.6,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,,train
2.38,Cc1cc(COC(=O)Nc2ccc(-c3ccccc3)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c2=O)cc(C)n1,,train
1.21,CC1CN(C(=O)c2nnc3c(-c4ncccn4)cccc3c2N)C1,,train
0.4,OCC(O)CN1CCN(c2ccccc2)CC1,,train
3.5,CN(C(=O)Cc1ccc(Cl)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,,train
2.47,CC(C)C(NC(=O)Cn1c(-c2ccc(F)cc2)ncc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,,train
2.49,CCCSc1ncccc1C(=O)N(C)[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2,,train
2,CCN(CCN(C)C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1,,train
1.74,Cc1ccc2c(c1)c(Sc1ccccc1)c(CC(=O)O)n2C,,train
3,CC(C)(C)OC(=O)N1CCC(OCc2nc(-c3ccncc3)no2)CC1,,train
2.4,O=C(Nc1ccc(N2CCOCC2)cn1)c1nnc(Nc2ccccc2F)o1,,train
0.8999999,O=C1O[C@]2(CN3CCC2CC3)CN1c1cccs1,,train
2.17,O=C(O)C(c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,train
1.77,O=S(=O)(CCCNCCc1ccc(O)c2nc(O)sc12)NCCSCCc1ccccc1,,train
1.39,Cc1cc(N)c2cc(NC(=O)CCC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,,train
1.89,N[C@H]1CCN(c2c(Cl)cccc2/C=C2\SC(=O)NC2=O)C1,,train
