Solubility,compound,solvent,set
-1.02,OCCOC1=CC=CC(OCCO)=C1,,train
-3.5304,ON(c1ccccc1)C(=O)c2ccccc2I,,train
-1.1548,o1cnc2ccccc12,,train
-7.47,Clc1cc(Cl)cc(c1)c2cc(Cl)c(Cl)cc2Cl,,train
-1.2099999,CCN(C1CC(C)[S](=O)(=O)C2=C1C=C(S2)[S](N)(=O)=O)C(=O)CNC,,train
-2.7673616,CC(O)CCC1CCCCC1,,train
-8.42,ClC1=CC(=C(OC2=C(Cl)C(=CC(=C2Cl)Cl)Cl)C=C1)Cl,,train
-2.3134382,CC(Cc1ccc2OCOc2c1)C=O,,train
-0.11760009,COC1CC1,,train
-1.78,O=C1NC(=O)C(Br)=C(CN2CCCC2)N1,,train
-3.3228,Clc1ccc(NC(NC=O)C(Cl)(Cl)Cl)cc1Cl,,train
-1.1538,CCC\C(=C/C(O)=O)C(O)=O,,train
-1.7101998,COc1cc2nccnc2c(N)c1OC,,train
-2.3663,CCN(CC)CCSCCN(CC)CC,,train
-2.16,CCCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C,,train
-0.24299993,CCN(CC)C(=O)CCl,,train
-1.3562,ClCC=C,,train
0.3347999,OCC(O)C(O)C1OC(=O)C(O)C1O,,train
-1.8263,OC(=O)c1occ(Cl)c1Cl,,train
-2.0061,O[S](=O)(=O)c1c(Br)c(Br)c(Br)c(Br)c1Br,,train
-0.4792341,CC/C(C)=N/O[Si@](C)(O\N=C(C)\CC)O\N=C(C)\CC,,train
-2.7223,ClC(Cl)C(Cl)C(Cl)Cl,,train
-4.133,CCN(CC)c1nc(C)cc(O[P](=S)(OC)OC)n1,,train
-6.13,OCCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,,train
0.8723999,OCCN(CCO)N=O,,train
-2.3,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O,,train
-2.4368808,FC1CC(F)(F)C(F)(F)C1(F)F,,train
-5.743865,CC1CCCCCCCCCCCCC(=O)C1,,train
-9.5374,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,,train
-2.1675,ClC/C=C/CCl,,train
1.0647997,C1CNCCN1,,train
-1.92,NC(=O)OCCCCCC,,train
-5.63,COC1=CC2=C(C=C1OC)C(=NC=N2)N3CCN(CC3)C(=S)NCC4=CC=CO4,,train
-6.8,c1c(Cl)ccc(Cl)c1c2c(Cl)cccc2Cl,,train
-3.271047,CC(C)COC(=O)Cc1ccccc1,,train
1.0650471,O=C1CCCO1,,train
-1.6688,[O-][N+](=O)C1C(=O)CC(CC1=O)c2ccccc2,,train
-1.9807854,C[N+](C)(C)c1ccc2ccc(O)c(N=Nc3ccc(N)cc3)c2c1,,train
-4.8928046,CCC(C)(C)c1ccc(O)c(c1)C(C)(C)CC,,train
0.6514002,CNC(=O)\C=C(/C)O[P](=O)(OC)OC,,train
-1.6,CC1=NC=C(CO)C(C=NC(C(=O)O)C(C)C)=C1O,,train
-0.65524256,C=CC(=O)NCNC(=O)C=C,,train
-3.0256,CCOC(=O)Cc1[nH]nc2ccc(Cl)cc12,,train
-2.8206093,Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S](O)(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S](O)(=O)=O.NCCCCCCN,,train
-2.45,FC1=CNC(=O)N(COC(=O)OC2=CC=CC=C2)C1=O,,train
-2.17,CC(C)(C)C(=O)OC[N]1C=C2C(=O)NC=NC2=N1,,train
-3.9588,CC(C)C(=O)Oc1ccc(cc1)[N+]([O-])=O,,train
-2.33,CCCCCC(O)/C=C/C1C(O)CC(O)C1C\C=C\CCCC(O)=O,,train
-7.48,ClC1=C(Cl)C(=CC=C1)OC2=C(Cl)C=C(Cl)C(=C2)Cl,,train
-5.9645863,CC(CCC=C(C)C)C=C,,train
-3.114865,CCCCC(CC)COCC1CO1,,train
-0.82289994,NCC(O)C(O)=O,,train
-9.1,Clc1cc(Cl)c(c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1Cl,,train
-2.31,CC(=O)NC(CSC1=C(Cl)C=CC=C1Cl)C(=O)O,,train
-0.8493999,CN(CCOC(=O)c1ccccc1)C(C)=O,,train
-4.14,CN1C=C(C(N)=O)C(=C(F)C1=O)NC2=C(F)C=C(Br)C=C2,,train
-1.2099999,CC1=NC=C(N1CCO)[N+](=O)[O-],,train
-4.29,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],,train
-2.4821079,CC(=O)c1cccc(c1)C(F)(F)F,,train
-1.2999998,NCC(=O)NCC(=O)OCCOC1=CC2=C(C=C1)N=C(S2)[S](N)(=O)=O,,train
-0.29190004,COC(=O)C(=O)OC,,train
-1.37,CCN(CCO)C(=O)COC(=O)C1=CC=CC=C1,,train
-3.5256279,CCN(C(=O)N(CC)c1ccccc1)c2ccccc2,,train
-1.2999998,Cl\C=C/Cl,,train
0.40402567,CCCCc1ccc2[n-]nnc2c1,,train
-4.1322,CCO[P](=S)(OCC)Oc1cnc2ccccc2n1,,train
-4.3056,CC(C)OC(=O)C(C)N(C(=O)c1ccccc1)c2ccc(F)c(Cl)c2,,train
0.8470944,OCC1CN2CCN1CC2,,train
-2.8846,[O-][N+](=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,,train
-5.309407,Nc1ccc(O[P](=S)(Oc2ccc(N)cc2)Oc3ccc(N)cc3)cc1,,train
-4.68,ClC1=CC(Cl)=C(Cl)C(Cl)=C1,,train
-3.2604,Cc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,,train
-2.3059,OC(=O)CCCCCCCCC(O)=O,,train
-6.9004,Clc1ccc(cc1)C(=C(Cl)Cl)c2ccc(Cl)cc2,,train
-3.15,CN1CCC23C4OC5=C(O)C=CC(=C25)CC1C3C=CC4O,,train
-2.2017086,C[P](=O)(Oc1ccccc1)Oc2ccccc2,,train
-0.8665999,CC(Cl)C(Cl)(Cl)C(O)O,,train
-0.52775156,CC(=C)OC(C)=O,,train
-1.1987754,NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(O)=O)C(O)C2O,,train
-3.5134687,CCC(C)(CCC(C)C)C(=O)OCC1CO1,,train
-3.8,CC1CN(CCN1)C2=CC3=C(C=C2F)C(=O)C(=CN3C4=C(F)C=C(F)C=C4)C(O)=O,,train
-1.4990999,CNC(=O)O\N=C\C(C)(C)SC,,train
-1.3055373,Nc1c(cc(Br)c2C(=O)c3ccccc3C(=O)c12)[S]([O-])(=O)=O,,train
-3.35,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,,train
-3.07,OC(c(c(c(nc1)ccc2)c2)c1)C(N(CCC3C4C=C)C4)C3,,train
-2.17,CN1C(=O)N(C)C2=C([N](COC(=O)C(C)(C)C)C=N2)C1=O,,train
0.41201627,C\C=C/C=O,,train
-1.8738,CC1CCCC(=O)C1,,train
-1.99,CN1CCCCC1C(=O)NC2=C(C)C=CC=C2C,,train
-4.04,CO[P](=S)(OC)SCN1N=NC2=CC=CC=C2C1=O,,train
-4.19,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,,train
-4.97,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,train
-0.43660033,Cc1cc(ccc1N\N=C2\C(=O)C=Cc3ccccc23)[S]([O-])(=O)=O,,train
-5.2838,CCO[P](=S)(OCC)SCS[P](=S)(OCC)OCC,,train
-4.1006,CCCCCCCCCC(=O)OCC,,train
-4.24,CC(=O)NC1=CC2=C(C=C1)C1=C(C=CC=C1)C2,,train
-4.012782,CC(C)(C)c1cc(CO)cc(c1O)C(C)(C)C,,train
0.17737423,CC(C)COC(=O)CC(C(=O)OCC(C)C)[S]([O-])(=O)=O,,train
-7.44,ClC1=CC=C(OC2=C(Cl)C(=C(Cl)C=C2)Cl)C(=C1)Cl,,train
-2.33,CCN1C=C(C(O)=O)C(=O)C2=C1C(=C(N3CCNC(C)C3)C(=C2)F)F,,train
-2.4205585,CC1(C)[C@@H]2CC[C@]1(C)[C@H](O)C2,,train
-4.0815,Cc1cccc(Nc2ccccc2C(O)=O)c1C,,train
-8.3339,CCCCCCCCCCCCCCCCCCCCCCCCCC,,train
-5.4575,CSC(=O)c1c(CC(C)C)c(C(=O)SC)c(nc1C(F)F)C(F)(F)F,,train
-5.5607324,O=C1CCCCCCCCCC\C=C/CCC1,,train
-2.46,CC1=CC(=CC=C1)[N+](=O)[O-],,train
-5.3093,Oc1ccc2C(=O)c3ccccc3C(=O)c2c1,,train
-7.711833,CC(C)C(C)(C)C(C)(C)C(C)(C)S,,train
-7.631732,S=C(SSSSSSC(=S)N1CCCCC1)N2CCCCC2,,train
-1.6601758,COc1ccc(C)cc1N,,train
-0.16999997,OC(=O)CCC(O)=O,,train
-4,CC(C)CC(CC(C)C)(CC(C)C)C(=O)NO,,train
-5.06227,COc1cc(NC(=O)c2cc3ccccc3cc2O)c(OC)cc1Cl,,train
-0.31929982,NC(=O)C[C@H](NC(=O)CCl)C(O)=O,,train
-0.50839984,CCCCOCCOC(N)=O,,train
-5.822919,CCCCCCCCCCCCCCCCCCNC(=O)NCCCNC(=O)NCCCCCCCCCCCCCCCCCC,,train
-2.97,CCCCS(=O)(=O)C(S(=O)(=O)CCCC)S(=O)(=O)CCCC,,train
-1.99,CCC1=C(NC(=O)N1)C(=O)C2=CC=NC=C2,,train
-1.6731197,O=COCc1ccccc1,,train
0.5006999,OC(=O)CC[P](O)(O)=O,,train
-6.77,Clc1cccc(c1)c2ccc(Cl)c(Cl)c2Cl,,train
-3.1737,OC(=O)CCCC(C(O)=O)(c1ccccc1)c2ccccc2,,train
-0.9487001,CCCCCCNC(=O)C(C)O,,train
-2.39465,CC(=O)OC(C)(C)Cc1ccccc1,,train
-4.500746,CCC(C)(C)c1ccccc1,,train
-1.46,O=C1NCC(=O)N(CC(O)C(O)C(O)CO)C2=C1C=CC=C2,,train
-1.7631596,Nc1nccnc1C(O)=O,,train
-1.98,[O-][N+](=O)C1=CC=CC(=C1)C=O,,train
-2.0555103,ClCC(Cl)C=C,,train
-3.43,CC12CC(O)C3(F)C(CCC4=CC(=O)CCC43C)C2CCC1(O)C(=O)CO,,train
-1.41,NC(C(=O)NCC(=O)O)C1=CC=CC=C1,,train
-4.358857,CN(c1ccccc1)[S](=O)(=O)C2=CC(=O)C3=C(NNc4ccc(NC(=O)CCl)cc4[S]([O-])(=O)=O)C(=N)C=CC3=C2,,train
-8.810645,O=C1c2ccccc2C(=O)c3c4[nH]c5c(ccc6C(=O)c7c8[nH]c9c(ccc%10C(=O)c%11ccccc%11C(=O)c9%10)c8ccc7C(=O)c56)c4ccc13,,train
-3.9301744,COC1CC(C)CCC1C(C)C,,train
-3.96,COC1=CC2=C(C=CC(C)(C)O2)C2=C1C(=O)C1=C(N=CC=C1)N2C,,train
-5.8676395,CCCCCCCCCCCCC(CCCCCCCCCC)C(O)=O,,train
-3.9236,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,,train
-7.1336145,Clc1c(Cl)c(Cl)c2C3=Nc4cccc5cccc(N3C(=O)c2c1Cl)c45,,train
-2.4650078,CC1=C(C=O)C(C)(C)CC=C1,,train
-8.185259,CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(cc3)C(=O)NC(C)(C)C)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2)cc1,,train
-8.004,c1ccc2c(c1)ccc3c4cccc5cccc(c45)c23,,train
-3.47,CC(C(=O)O)C1=CC=CC(C(=O)C2=CC=CC=C2)=C1,,train
-0.90999997,C[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,,train
-3.6577,CCO[P](=S)(OCC)Oc1nn(C(C)C)c(Cl)n1,,train
-1.3971,OC(CI)CI,,train
-0.7471999,CCOC(=O)CC1(C)CCC(=O)O1,,train
-3.89,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],,train
-1.4589,CCO[P](=O)(SC(C)CC)N1CCSC1=O,,train
-0.29999983,CC1C(=O)CCC2C(O)CCC(O)C12,,train
-6.0118423,CC(C)(CC(=C)c1ccccc1)c2ccccc2,,train
-7.188496,CCCCC(CC)C(=O)OOC(C)(C)CCC(C)(C)OOC(=O)C(CC)CCCC,,train
-6.6782,CCOc1cc(ccc1C2COC(=N2)c3c(F)cccc3F)C(C)(C)C,,train
-5.22,CCCCCCCCC(CC)(CC)C(=O)NO,,train
-0.89,O=C(O)Cc(cccc1)c1,,train
-7.509558,CCCCOC(=O)C1C(C(=O)OCCCC)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl,,train
-2.2144,COc1ccc(CCC(O)=O)cc1,,train
-4.9058,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,,train
-2.21,CCCCNCC1=CC=C(C(=O)C2=CSC(S(N)(=O)=O)=C2)C=C1,,train
-1.141273,Nc1ccc(cc1)[S](O)(=O)=O,,train
-0.8608352,CCOc1ccc(N)cc1,,train
-3.25,OC(=O)C1=CC(=CC=C1)N=C=S,,train
-0.7738999,Cc1cccc(Cl)c1O,,train
-2,COC1=C(CC(C)NC(C)CC2=C(OC)C=CC=C2)C=CC=C1,,train
-0.8188001,CCCCOCCOCCOC(C)=O,,train
-4.154196,COC(=O)C1CC(=O)C(CC1=O)C(=O)OC,,train
-2.4806,CC(C)N(C(=O)CCl)c1ccccc1,,train
-8.36,ClC1=CC(=C(OC2=CC(=C(Cl)C=C2Cl)Cl)C=C1Cl)Cl,,train
-5.0614595,CCCCCCCCCCCC=O,,train
-2.3598,CCCCCCCC=O,,train
-7.113399,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCCCCCC,,train
-3.29,COC1=CC=C2C=C(C=CC2=C1)C(C)C(O)=O,,train
0.2715999,CCOCCOC(C)=O,,train
-3.6723,ON(c1ccccc1)C(=O)c2ccc(Cl)cc2Cl,,train
-1.805,Nc1ccc(CC(=O)c2ccccc2)cc1,,train
-2.9374,CCNc1nc(Cl)nc(NCC(=O)OCC)n1,,train
0.5100001,NC1=CC(=CC=C1)N,,train
-2.92,OCC1OC(N2C(C3=CC=CO3)=NC3=C2C=CC=C3)C(O)C1O,,train
-0.93999994,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=O)C3=C(O)C2(O)C(=O)C(=C1O)C(N)=O)O)N(C)C,,train
-1.5678,CC(=O)NCC(=O)Nc1ccccc1,,train
-1.2255454,NC(=O)c1ccc(N)cc1,,train
-0.8814999,CC1CCC(O)CC1,,train
-7.4721,Clc1ccc(c(Cl)c1)c2c(Cl)cc(Cl)c(Cl)c2Cl,,train
-3.0458384,CCOC(=O)C(C)(C)c1ccccc1,,train
-0.5533999,CC(=O)OCC=C,,train
-1.2,CC1=CC=C2CN(C(N)=NO)CC3CCCC1=C23,,train
0.9861001,C[C@H]([NH3+])C(C)(C)C,,train
-6.9799366,CCCCC(CC)COC(=O)OCC(CC)CCCC,,train
0.71299994,CC[NH+](C)CC,,train
-1.63,CC(C)(C)C(=O)CC(=O)C,,train
-2.3345,ICI,,train
-5.0474,CC(C)CCC(C)(C)C,,train
-1.471935,CCOC(C)(C)CC,,train
-6.0474,CCCCC(C)CCC,,train
-4.17,CC1=CC=C(C=C1)C(=O)C2=CC(=C(O)C(=C2)O)[N+]([O-])=O,,train
-4.692504,Cc1ccccc1Cc2ccccc2,,train
-4.1369,Cc1ccc(C)c2ccccc12,,train
-4.44,CCOC1=CC=C(NC(=O)NC2=CC=C(OCC)C=C2)C=C1,,train
-5.3116264,CC(C)C1CCCCC1,,train
0.6522001,CCNC(C)C(O)=O,,train
-1.63,CCCCNC(=O)NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O,,train
-5.82,CCCOC(=O)C(C)C1=CC2=CC=C(OC)C=C2C=C1,,train
-1.57,CC1(C)SC2C(NC(=O)C(N)C3=CC=C(N)C=C3)C(=O)N2C1C4=NN=N[NH]4,,train
-2.02,CN(C)C1=C(C(=O)O)C=C(C(=O)O)C=C1,,train
-4.1706553,CC(C)CCCCCOC(=O)C=C,,train
-3.2626,Oc1ccc(cc1)C(c2ccc(O)cc2)c3ccccc3C(O)=O,,train
-1.8623,FC(F)(F)C(Cl)Cl,,train
-0.7089001,CC(C)CN1CCOCC1,,train
-2.23,OC1=C(S(=O)(=O)O)C(=O)C2=C1C=CC=C2,,train
-4.69,CNCCCC12CCC(C3=C1C=CC=C3)C4=C2C=CC=C4,,train
-8.06,ClC1=CC=C(OC2=C(Cl)C(=C(Cl)C(=C2)Cl)Cl)C=C1,,train
-6.01,O=C(O)C1=CC=C(P(=O)(C2=CC=CC=C2)C2=CC=C(C(=O)O)C=C2)C=C1,,train
0.4469999,Cc1cccc(C)n1,,train
-2.0673,OC(=O)c1ccc(F)cc1,,train
-2.9,C[N@]1C[C@@H]2C[C@H]1CN2c1c(cc2c(n(cc(C(=O)O)c2=O)C2CC2)c1)F,,train
-3.9641,CCN(CC)C(=O)SCc1ccc(Cl)cc1,,train
-1.68,N#CCCN(CCC#N)C(CC1=CC=C(O)C=C1)C(=O)O,,train
-1.2069,OC(=O)CNC[P](O)(O)=O,,train
-4.2507,CCC1CCCCC1,,train
-0.14,C[N]1N=NN=C1SCC2=C(N3C(SC2)C(NC(=O)C(O)C4=CC=CC=C4)C3=O)C(O)=O,,train
-1.94,CCC=C,,train
-1.0571257,OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,,train
-2.65,OC(=O)C1=C(O)C=CC(=C1)Br,,train
-7.0122,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,,train
-1.74,COC(C)C(NC(=O)C1=CC=CC=C1)C(=O)O,,train
-1.8861,CCOC(=O)C1(CCN(C)CC1)c2ccccc2,,train
-0.73080003,Cc1ccnc(NC(=O)c2cnccn2)n1,,train
-3.59,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,,train
-1.8779,CCCC(C)CC(C)O,,train
-1.0657,NC(Cc1ccccc1)C(O)=O,,train
-3.97,COC1=NC(=NC(=C1)OC)NC(=O)N[S](=O)(=O)C2=NC=CC=C2C(=O)N(C)C,,train
-1.8586,CCOC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O,,train
-0.9762,Oc1ccc(C=O)cc1,,train
-3.8202,CC(=O)C1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C,,train
0.42524803,OC(=O)CC(O)(CC(O)=O)C([O-])=O,,train
-2.0611,Nc1cccc(c1)[N+]([O-])=O,,train
-2.349,O=C2NC(=O)C1(CCCC1)C(=O)N2,,train
-5.0774,CC(C)(C)c1ccc(O[P](=O)(Oc2ccccc2)Oc3ccccc3)cc1,,train
-3.4009,Oc1ccc(Cc2ccccc2)cc1,,train
-0.29000008,OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,,train
-4.9372096,[O-][N+](=O)c1ccccc1c2ccc(Cl)cc2,,train
-2.68,CC(C)(C)C(=O)OC[N]1N=CC2=C1N=CNC2=O,,train
-2.1135955,CC(=O)OC(=C)c1ccccc1,,train
-3.949,CCCCCCOC(=O)c1ccc(O)cc1,,train
-3.900335,CC1=CC(=O)N(Cc2cccc(CN3C(=O)C=C(C)C3=O)c2)C1=O,,train
-3.136751,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC([O-])=O,,train
-1.85,O=C(C(CC1C2)(C2)C)C1(C)C,,train
-0.004899868,NC(=S)NC#N,,train
-5.0226026,CC1CCC(CC2=C1CCC2C)C(C)(C)OC(C)=O,,train
-3.5614,CCCCN(CCCC)C(=O)COC(=O)c1ccccc1,,train
-2.2911046,Cc1ccccc1OCC2CO2,,train
-1.56,OC(=O)C(S)CC1=CC=CC=C1,,train
-1.598,ClC/C=C/Cl,,train
-2.3662,CC(C)OC(C)(C)C,,train
-2.0680943,CC(C)C1CCC(O)CC1,,train
0.37539136,CC(=C)C(N)=O,,train
-0.54676783,CC(C)OC(C)=O,,train
-1.0732,C[C@@H](CCO)CCC=O,,train
-3.2,OC(=O)C(=C)CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2Cl,,train
-2.699,OC(=O)c1cccc(Br)c1,,train
-1.2999998,CC1=CC=C(C2=C(CC(=O)N(C)C)N3C=C(C)C=CC3=N2)C=C1,,train
-1.8184,Cn1c2ccccc2c(C(N)=O)c1C(N)=O,,train
-1.7898,NC(=S)Nc1ccccc1,,train
-2.8266,CC[C@@H]1[C@@H](O)N2[C@H]3C[C@@H]1C4C(O)[C@@]5(C[C@H]24)[C@H]3N(C)c6ccccc56,,train
1.5807999,CC(N)=O,,train
-0.86,CC(=O)NC1=NC2=C(C=N1)N=C[N]2COCCO,,train
-4.79,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,,train
-7.288734,CCOC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,,train
-1.2099999,COC1=CC2=C3C(=C1)C=CC=C3CN(C(N)=NO)C2,,train
-3.43,CC(=O)NC1=CC=C(C=C1)[S](=O)(=O)NC2=NC=CS2,,train
-0.43902934,COC(C)(C)CCOC(C)=O,,train
-2.4171743,Nc1ccc(Cl)cc1Cl,,train
-0.7099999,CNC(=O)ON=CC(C)(C)SC,,train
-4.92,CC1=CC=C(C)C2=C1C=CC=C2C,,train
-1.3663,Nc1cccc(c1)C(O)=O,,train
-2.94,O=C1C=CC2=C(C=CC=C2)C1=NO,,train
0.48516238,CC(CC([O-])=O)CC(C)(C)C,,train
-0.93999994,COC1=CC=C2C(=CC1=O)C(CCC3=C2C(=C(OC)C(=C3)OC)OC)NC(C)=O,,train
-8.56,CCCCCCCOC(=O)C1=C(C(=O)OCCCCCCC)C=CC=C1,,train
-7.380943,CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C,,train
1.0436,[C-]#N,,train
-3.1508,O=C(Nc1ccccc1)Nc2ccccc2,,train
-3.5747995,ClCCN1C(=O)Nc2ccccc2C1=O,,train
-1.49,N#CCCNC(CC1=CC=CC=C1)C(=O)O,,train
-4.5922,CC(Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1)C(=O)N3CCCO3,,train
-7.22,CCCCOC(=O)C1=C(C(=O)OCC(CC)CCCC)C=CC=C1,,train
-1.7,CCOC(=S)SC(CC(N)=O)C(=O)O,,train
-5.6330557,O=C1n2c3ccccc3nc2c4ccc5c6nc7ccccc7n6C(=O)c8ccc1c4c58,,train
-2.8664,CN(C(C)=O)C(=O)COC(=O)c1ccccc1,,train
-2.92,OC1=CC=CC2=C1C=CC=C2O,,train
-2.5421,O=C(COC(=O)c1ccccc1)N2CCCCCC2,,train
-4.95,c1cc(O)ccc1C(C=C)C(C=C)c2ccc(O)cc2,,train
-3.8118,Clc1ccc(OCCOC(=O)c2ccccc2)c(Cl)c1,,train
1.0702642,OC(=O)CC#N,,train
-3.0516,CC1(C)OC(=O)c2cc(ccc12)[N+]([O-])=O,,train
-7.3978753,CCCCCCCCCCCCCC(=O)OCC(O)CO,,train
-5.2803,Clc1ccc(cc1)c2ccccc2Cl,,train
0.2109934,CC(O)CN(CC(C)O)C(=O)CCCCC(=O)N(CC(C)O)CC(C)O,,train
-1.1428,O=C1NC=Cc2cccnc12,,train
-3.9583461,O=C1CCCCCN1C(=O)c2cccc(c2)C(=O)N3CCCCCC3=O,,train
-1.9302,C\C=C/C,,train
-0.79999983,NC(=O)OCC(C)(C)C,,train
-3.2109,Ic1ccc2COC(=O)c2c1,,train
-2.1558332,FC1(F)Oc2cccc(C=O)c2O1,,train
0.5847999,OCC1OC(O[P](O)(O)=O)C(O)C(O)C1O,,train
-0.8333999,CCCC(=O)CC,,train
0.8026937,COCCC(=O)OC,,train
-5.435323,CCCCC(CC)COCOCC(CC)CCCC,,train
-5.2,OC(CCN1CCCCC1)(C2CCCCC2)C3=CC=CC=C3,,train
-0.06000007,COC(=O)C(CO)NC(=O)C(Cl)Cl,,train
-0.9634,CCC(=O)OOC(=O)CC,,train
-1.3879839,Cc1cc(C)cc(O)c1,,train
-3.73,CCCC(=O)OCN1C=C(F)C(=O)N(C1=O)C(=O)C2=CC=CC=C2,,train
-3.87,O=C1NC(=O)C2=C([NH]C=N2)N1,,train
-4.08,CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl,,train
-6.23,ClC1=CC(=C(Cl)C(=C1)Cl)C2=CC=CC=C2Cl,,train
-3.8614247,Clc1cc(Cl)c(Cl)nc1Cl,,train
-3.35,CCCCC(CC)CC(CC)(CC)C(=O)NO,,train
-6.1094,CCO[P](=S)(OCC)Oc1ccc(Cl)cc1Cl,,train
-3.0386996,CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,,train
